Soap,Touch Me,The Doors
Complaining,Flagpole Sitta,Harvey Danger
Favors,Help Me Rhonda,Beach Boys
Chicago,Homecoming,Kanye West
Trump playlist,Demagogue,Franz Ferdinand
World,The Globe,Big Audio Dynamite
Suggestion Box,Human Fly,The Cramps
Cheating,Your Cheatin Heart,Hank William Sr
Cheating,Back Door Man,The Doors
Cheating,Tempted,Squeeze
Nervous,The Boy With The Perpetual Nervousness,The Feelies
body movements,I Touch Myself,Divinyls
body movements,Sit on My Face,Monty Python
Accidents,A Day In The Life,The Beatles
Blind,Doctor My Eyes,Jackson Browne
Grunge,Cherub Rock,Smashing Pumpkins
The Afterlife,Eraserhead,In Heaven
Liquor,Rum and Coca Cola,The Andrews Sisters
Liquor,Whiskey In The Jar,Thin Lizzy
stcbu,Down To The River To Pray,Alison Krauss
Sub choice,Possum Kingdom,The Toadies
Uniforms,Major Tom,Peter Schilling
Game,the name game,shirley ellis
Not on the Soundtrack,Sweet Emotion,Aerosmith
Stuttering,Cherry Bomb,The Runaways
Stuttering,Poker Face,Lady Gaga
Shuffle,Too Drunk to Fuck,Dead Kennedys
Change,Changes,Black Sabbath
The Sun,Blister In The Sun,Violent Femmes
The Sun,Who Loves The Sun,The Velvet Underground
Angst,The End,The Doors
Sequels,Phantom Pt II,Justice
Safari,Wipe Out,Surfaris
Surf,Misirlou,Dick Dale
